No;OPD/ Unit Pelayanan Publik;Periode Pelaksanaan*;U1;U2;U3;U4;U5;U6;U7;U8;U9;IKM;IKM by Rumus;Kategori;Rerata IKM Per Tahun;Kategori
1;Kecamatan Banyumanik Kota Semarang;Tri wulan I;97,25;94,25;92,00;98,50;93,00;94,25;96,00;98,00;95,00;95,36;95,36;A (Sangat Baik);95,36;A (Sangat Baik)
5;Kecamatan Candisari Kota Semarang;Tri wulan I;91,68;89,63;90,25;99,88;88,60;88,98;90,53;90,25;98,33;92,01;92,01;A (Sangat Baik);92,01;A (Sangat Baik)
9;Kecamatan Gajahmungkur Kota Semarang;Tri wulan I;88,60;89,50;87,90;99,20;88,43;89,85;90,75;88,08;98,75;91,23;91,23;A (Sangat Baik);91,23;A (Sangat Baik)
12;Kecamatan Gayamsari Kota Semarang;Tri wulan I;98,93;100,00;98,93;100,00;99,45;99,45;99,45;100,00;98,38;99,40;99,40;A (Sangat Baik);99,40;A (Sangat Baik)
16;Kecamatan Genuk Kota Semarang;Tri wulan I;94,53;92,48;87,33;100,00;94,53;91,45;93,15;92,13;100,00;93,95;93,95;A (Sangat Baik);93,95;A (Sangat Baik)
20;Kecamatan Gunungpati Kota Semarang;Tri wulan I;92,07;92,07;93,10;100,00;92,07;92,92;95,17;95,17;100,00;94,73;94,73;A (Sangat Baik);94,73;A (Sangat Baik)
24;Kecamatan Mijen Kota Semarang;Tri wulan I;89,15;90,80;89,90;98,53;88,22;93,02;91,55;91,55;100,00;92,52;92,52;A (Sangat Baik);92,52;A (Sangat Baik)
28;Kecamatan Ngaliyan Kota Semarang;Tri wulan I;92,83;93,23;91,60;100,00;90,90;91,40;90,80;90,70;99,30;93,42;93,42;A (Sangat Baik);93,42;A (Sangat Baik)
32;Kecamatan Pedurungan Kota Semarang;Tri wulan I;93,18;90,90;88,13;99,93;91,15;87,38;86,20;84,50;100,00;91,26;91,26;A (Sangat Baik);91,26;A (Sangat Baik)
35;Kecamatan Semarang Barat Kota Semarang;Tri wulan I;83,30;83,30;83,30;100,00;75,00;91,70;91,70;91,70;100,00;88,89;88,89;A (Sangat Baik);88,89;A (Sangat Baik)
38;Kecamatan Semarang Selatan Kota Semarang;Tri wulan I;98,03;96,93;96,93;100,00;98,03;97,80;98,68;97,60;100,00;98,22;98,22;A (Sangat Baik);98,22;A (Sangat Baik)
42;Kecamatan Semarang Tengah Kota Semarang;Tri wulan I;97,45;97,90;97,90;99,90;97,60;98,15;98,53;97,65;99,03;98,23;98,23;A (Sangat Baik);98,23;A (Sangat Baik)
43;Kecamatan Semarang Timur Kota Semarang;Tri wulan I;98,05;91,05;92,15;99,05;95,38;91,95;91,32;99,05;98,03;95,11;95,11;A (Sangat Baik);95,11;A (Sangat Baik)
47;Kecamatan Semarang Utara Kota Semarang;Tri wulan I;91,68;97,23;97,23;100,00;91,68;97,23;100,00;97,23;100,00;96,92;96,92;A (Sangat Baik);96,92;A (Sangat Baik)
50;Kecamatan Tembalang Kota Semarang;Tri wulan I;91,85;88,97;86,90;100,00;87,35;90,60;87,45;83,70;99,67;90,72;90,72;A (Sangat Baik);90,72;A (Sangat Baik)
54;Kecamatan Tugu Kota Semarang;Tri wulan I;95,93;97,83;96,48;100,00;97,55;98,38;97,83;97,55;100,00;97,95;97,95;A (Sangat Baik);97,95;A (Sangat Baik)
;;;;;;;;;;;;;;;;
