kecamatan;kelurahan;jumlah_kelurahan;batas_wilayah.utara;batas_wilayah.timur;batas_wilayah.selatan;batas_wilayah.barat;karakteristik_topografi;luas_wilayah;total_penduduk;link_peta
Banyumanik;-;11;Kecamatan Candisari dan Kecamatan Gajahmungkur;Kecamatan Tembalang;Kabupaten Semarang;Kecamatan Gunungpati;Perbukitan bergelombang;31.82;145708;https://drive.google.com/uc?export=download&id=1uNRjZh8EnrnR3czDbDnrN6K6IBeoW7fM
Candisari;-;7;Kecamatan Semarang Selatan;Kecamatan Tembalang;Kecamatan Banyumanik;Kecamatan Gajahmungkur;Bergelombang;6.625;76310;https://drive.google.com/uc?export=download&id=1k11_qB799xTaDArTj-F-lXSkI5idm03k
Gajahmungkur;-;8;Kecamatan Semarang Selatan;Kecamatan Candisari;Kecamatan Banyumanik dan Kecamatan Gunungpati;Kecamatan Semarang Barat;Bergelombang;9.635;57741;https://drive.google.com/uc?export=download&id=1W3PMADZpHcAGn0GsSgDWhr6Xwo86BnUE
Gayamsari;-;7;Kecamatan Genuk;Kecamatan Genuk dan Kecamatan Pedurungan;Kecamatan Semarang Selatan;Kecamatan Semarang Timur;Dataran Rendah;6.445;71402;https://drive.google.com/uc?export=download&id=1tonjmgTMSAHsCEcphbWl6oYGvdzGMORw
Genuk;-;13;Laut Jawa;Kabupaten Demak;Kecamatan Pedurungan;Kecamatan Gayamsari dan Kecamatan Semarang Utara;Dataran Rendah;27.317;130149;https://drive.google.com/uc?export=download&id=13uacI9iGmdncnaXtIh77AMuX8QU30nq5
Gunungpati;-;16;Kecamatan Gajahmungkur dan Kecamatan Ngaliyan;Kecamatan Banyumanik;Kabupaten Semarang;Kecamatan Mijen;Perbukitan;59.767;104174;https://drive.google.com/uc?export=download&id=1_tHJDgsM3tfBOF7KZ71wUFpWI6s570N-
Mijen;-;14;Kecamatan Ngaliyan;Kecamatan Gunungpati;Kabupaten Kendal;Kabupaten Kendal;Perbukitan;56.772;84486;https://drive.google.com/uc?export=download&id=1wUVrQAZVFMWCXYT-kocLYQ4fnRdhmqJ4
Ngaliyan;-;10;Kecamatan Tugu;Kecamatan Semarang Barat dan Kecamatan Gajahmungkur;Kecamatan Mijen dan Kecamatan Gunungpati;Kabupaten Kendal;Bergelombang hingga perbukitan;44.8415;144455;https://drive.google.com/uc?export=download&id=16xjZDMVZz1YHYTzpWMNkHzBjZG_ziXt5
Pedurungan;-;12;Kecamatan Genuk;Kabupaten Demak;Kecamatan Tembalang;Kecamatan Gayamsari;Dataran Rendah;21.722;199876;https://drive.google.com/uc?export=download&id=11eANL64ZITJKI59CSgaE-SUqV2C8xO0r
Semarang Barat;-;16;Laut Jawa;Kecamatan Semarang Utara, Semarang Tengah dan Semarang Selatan;Kecamatan Ngaliyan dan Kecamatan Gajahmungkur;Kecamatan Tugu;Dataran Rendah;24.999;151599;https://drive.google.com/uc?export=download&id=15N1J1XMYSqs6s6l1bkAAJxjmBezkkI1l
Semarang Selatan;-;10;Kecamatan Semarang Tengah dan Kecamatan Semarang Timur;Kecamatan Gayamsari dan Kecamatan Pedurungan;Kecamatan Candisari dan Kecamatan Gajahmungkur;Kecamatan Semarang Barat;Bergelombang;6.161;65344;https://drive.google.com/uc?export=download&id=1rMdPQEoogt0ww0IGzPVTvCGupyX0xiza
Semarang Tengah;-;15;Kecamatan Semarang Utara;Kecamatan Semarang Timur;Kecamatan Semarang Selatan;Kecamatan Semarang Barat;Dataran Rendah;5.336;56346;https://drive.google.com/uc?export=download&id=1QAR0GixkraA0YpMAXGPw8fLx8yfJ1xjr
Semarang Timur;-;10;Kecamatan Semarang Utara;Kecamatan Gayamsari;Kecamatan Semarang Selatan;Kecamatan Tengah;Dataran Rendah;5.576;68038;https://drive.google.com/uc?export=download&id=1qwZR-6kKttL366dsXYywQI7bWovWGRuu
Semarang Utara;-;9;Laut Jawa;Kecamatan Genuk;Kecamatan Semarang Timur dan Kecamatan Semarang Tengah;Kecamatan Semarang Barat;Dataran Rendah Pesisir;12.017;117639;https://drive.google.com/uc?export=download&id=1869hVQhIV5KUU-ofagvYGwQJRcL3ie6m
Tembalang;-;12;Kecamatan Candisari;Kecamatan Pedurungan dan Kabupaten Demak;Kabupaten Semarang;Kecamatan Banyumanik;Perbukitan bergelombang;40.728;195653;https://drive.google.com/uc?export=download&id=1wUVrQAZVFMWCXYT-kocLYQ4fnRdhmqJ4
Tugu;-;7;Laut Jawa;Kecamatan Semarang Barat;Kecamatan Ngaliyan;Kabupaten Kendal;Dataran Rendah Pesisir;29.196;33848;https://drive.google.com/uc?export=download&id=11Pa5bOs0Ppl8t4JzQ5wjYFvQ7tRDlGux
Gunungpati;Sumurrejo;-;Kelurahan Mangunsari dan Pakintelan;Kelurahan Pudakpayung;Kabupaten Semarang;Kelurahan Plalangan;-;3.68;3556;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1014.pdf
Mijen;Karangmalang;-;Kelurahan Polaman;Kabupaten Kendal;Kabupaten Kendal.;Kelurahan Bubakan;-;1.97;2819;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1003.pdf
Mijen;Bubakan;-;Kelurahan Tambangan dan Purwosari;Kelurahan Karangmalang dan Polaman;Kabupaten Kendal.;Kelurahan Cangkringan dan Tambangan;-;2.51;4073;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1002.pdf
Mijen;Polaman;-;Kelurahan Purwosari dan Cepoko;Kelurahan Cepoko dan Kabupaten Kendal;Kelurahan Karangmalang;Kelurahan Bubakan;-;1.78;1972;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1004.pdf
Gunungpati;Plalangan;-;Kelurahan Nongkosawit dan Ngijo;Kelurahan Mangunsari dan Sumurrejo;Kabupaten Semarang;Kelurahan Gunungpati;-;3.54;7050;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1003.pdf
Mijen;Cangkiran;-;Kelurahan Jatisari;Kelurahan Tambangan dan Bubakan;Kabupaten Kendal;Kabupaten Kendal;-;2.4;5144;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1001.pdf
Banyumanik;Pudakpayung;-;Kelurahan Banyumanik;Kelurahan Gedawang dan Kabupaten Semarang;Kabupaten Semarang;Kelurahan Pakintelan dan Sumurrejo;-;6.18;24907;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1001.pdf
Gunungpati;Pakintelan;-;Kelurahan Patemon;Kelurahan Banyumanik dan Pudakpayung;Kelurahan Sumurrejo;Kelurahan Mangunsari;-;3.76;6615;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1001.pdf
Banyumanik;Gedawang;-;Kelurahan Padangsari dan Jabungan;Kelurahan Jabungan;Kelurahan Pudakpayung dan Kabupaten Semarang;Kelurahan Banyumanik dan Pudakpayung;-;3.82;11443;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1002.pdf
Gunungpati;Mangunsari;-;Kelurahan Ngijo;Kelurahan Patemon dan Pakintelan;Kelurahan Sumurrejo;Kelurahan Plalangan;-;3.39;4293;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1002.pdf
Gunungpati;Gunungpati;-;Kelurahan Cepoko dan Nongkosawit;Kelurahan Plalangan;Kabupaten Semarang;Kabupaten Kendal;-;4.86;4320;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1004.pdf
Banyumanik;Banyumanik;-;Kelurahan Srondol Wetan, Srondol Kulon, dan Padangsari;Kelurahan Gedawang dan Padangsari;Kelurahan Pudakpayung;Kelurahan Pakintelan dan Patemon;-;1.82;12702;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1005.pdf
Banyumanik;Jabungan;-;Kelurahan Kramas dan Meteseh;Kabupaten Semarang;Kelurahan Gedawang dan Kabupaten Semarang;Kelurahan Padangsari dan Gedawang;-;3.88;4819;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1003.pdf
Banyumanik;Padangsari;-;Kelurahan Pedalangan dan Kramas;Kelurahan Jabungan;Kelurahan Gedawang;Kelurahan Banyumanik dan Srondol Wetan;-;1.29;12262;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1010.pdf
Mijen;Purwosari;-;Kelurahan Mijen dan Jatibarang;Kelurahan Cepoko;Kelurahan Bubakan dan Polaman;Kelurahan Tambangan;-;4.38;5190;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1005.pdf
Mijen;Tambangan;-;Kelurahan Mijen dan Jatisari;Kelurahan Purwosari;Kelurahan Bubakan;Kelurahan Cangkiran dan Jatisari;-;2.84;5464;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1006.pdf
Tembalang;Kramas;-;Kelurahan Bulusan;Kelurahan Meteseh;Kelurahan Jabungan;Kelurahan Padangsari dan Pedalangan;-;1.15;4631;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1005.pdf
Gunungpati;Cepoko;-;Kelurahan Kandri dan Jatirejo;Kelurahan Nongkosawit dan Gunungpati;Kelurahan Polaman, Gunungpati, dan Kabupaten Kendal;Kelurahan Purwosari dan Jatibarang;-;2.83;6414;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1012.pdf
Gunungpati;Nongkosawit;-;Kelurahan Pongangan;Kelurahan Ngijo;Kelurahan Plalangan dan Gunungpati;Kelurahan Cepoko;-;2.38;5832;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1005.pdf
Banyumanik;Srondol Wetan;-;Kelurahan Sumurboto dan Pedalangan;Kelurahan Pedalangan dan Padangsari;Kelurahan Banyumanik;Kelurahan Srondol Kulon;-;1.94;21125;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1007.pdf
Mijen;Jatisari;-;Kelurahan Wonoplumbon dan Wonolopo;Kelurahan Mijen dan Tambangan;Kelurahan Cangkiran;Kabupaten Kendal;-;2.48;12834;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1013.pdf
